cause_entity,effect_entity,relationship,document_reference,quantifications,modulator_uncertainty,modulator_temporal,tense,custom_id,speech_id,batch_id,speech_narrative_id
monetary policy,short-circuit the inflationary expectations dynamic,Monetary policy tools are used to influence inflationary expectations.,"The challenge is to deploy monetary policy tools to short-circuit the inflationary expectations dynamic now, so as to prevent inflation from remaining above target for longer, and by doing so to moderate the hit to purchasing power later on.",NA,NA,NA,PRESENT,speech_16649_batch_0,16649,batch_6956d9714e688190be18ed9b79ec69e7,16649_0
monetary policy,moderate the hit to purchasing power,"Monetary policy tools are used to influence inflationary expectations, which in turn affects purchasing power.","The challenge is to deploy monetary policy tools to short-circuit the inflationary expectations dynamic now, so as to prevent inflation from remaining above target for longer, and by doing so to moderate the hit to purchasing power later on.",NA,NA,NA,FUTURE,speech_16649_batch_0,16649,batch_6956d9714e688190be18ed9b79ec69e7,16649_1
current inflation,affecting future price inflation,"Current inflation influences price expectations and realisations, which in turn affect future price inflation.","Uncertainties about price expectations and price realisations are particularly important, being influenced by current inflation and, in turn, affecting future price inflation.",NA,NA,NA,FUTURE,speech_16649_batch_0,16649,batch_6956d9714e688190be18ed9b79ec69e7,16649_2
price realisations,evolution of real income and demand,"Price realisations affect real income and demand, influencing economic outcomes.","Relatedly, but its own source of uncertainty into the medium-term, is how price realisations affect the evolution of real income and demand, which in turn, will either ratify the price expectations, or not.",NA,NA,medium-term,FUTURE,speech_16649_batch_0,16649,batch_6956d9714e688190be18ed9b79ec69e7,16649_3
monetary policy,influence inflation and output,Monetary policy affects inflation and output through financial intermediaries.,"Another uncertainty, particularly important for the medium term impact of policy, relates to the transmission mechanism from monetary policy (domestic and external) through financial intermediaries to influence inflation and output.",NA,NA,medium term,FUTURE,speech_16649_batch_0,16649,batch_6956d9714e688190be18ed9b79ec69e7,16649_4
shocks,push inflation away from 2%,Shocks can cause inflation to deviate from the target.,"However, the remit also recognises that shocks will push inflation away from 2%, and that appropriate monetary policy can temporarily tolerate such a deviation.",NA,NA,NA,FUTURE,speech_16649_batch_0,16649,batch_6956d9714e688190be18ed9b79ec69e7,16649_5
monetary policy path,cause undue volatility in economic activity,The path needed to achieve inflation targets could lead to volatility in economic activity.,This is because the monetary policy path needed to achieve 2% at any specific point in time could cause undue volatility in economic activity.,NA,NA,NA,FUTURE,speech_16649_batch_0,16649,batch_6956d9714e688190be18ed9b79ec69e7,16649_6
monetary policy,influence medium-term inflation and purchasing power,"Monetary policy decisions influence expectations, which affect inflation and purchasing power.","But in any case, to the extent that monetary policy decisions in the short term can influence expectations over future price-setting, it can influence medium-term inflation and purchasing power, and therefore its own appropriate future stance.",NA,NA,medium-term,FUTURE,speech_16649_batch_0,16649,batch_6956d9714e688190be18ed9b79ec69e7,16649_7
monetary policy,change financial conditions,Monetary policy works through financial intermediaries to change financial conditions.,"Monetary policy, both by domestic and external central banks, works through financial intermediaries to change financial conditions which in turn steers aggregate demand.",NA,NA,NA,PRESENT,speech_16649_batch_0,16649,batch_6956d9714e688190be18ed9b79ec69e7,16649_8
financial conditions,steer aggregate demand,Changes in financial conditions influence aggregate demand.,"Monetary policy, both by domestic and external central banks, works through financial intermediaries to change financial conditions which in turn steers aggregate demand.",NA,NA,NA,PRESENT,speech_16649_batch_0,16649,batch_6956d9714e688190be18ed9b79ec69e7,16649_9
previous monetary accommodation,affecting transmission now,Past monetary accommodation may influence current transmission of monetary policy signals.,"With regard to the first linkage: Has the transmission of monetary policy signals to financial conditions changed, with liquidity from past monetary accommodation perhaps affecting transmission now?",NA,perhaps,NA,PRESENT,speech_16649_batch_0,16649,batch_6956d9714e688190be18ed9b79ec69e7,16649_10
bolder monetary policy action,affect financial conditions,Stronger policy actions may be needed to influence financial conditions if past accommodation absorbs transmission.,"If so, then bolder monetary policy action might be needed to affect financial conditions, to then cascade to affect real decisions.",NA,might,NA,FUTURE,speech_16649_batch_0,16649,batch_6956d9714e688190be18ed9b79ec69e7,16649_11
tightness in labour and product markets,downstream wage and price pressures,Market tightness influences wage and price pressures.,With regard to the second linkage: Has the relationship between tightness in labour and product markets and downstream wage and price pressures changed on account of the shocks that have hit the economy?,NA,NA,NA,PRESENT,speech_16649_batch_0,16649,batch_6956d9714e688190be18ed9b79ec69e7,16649_12
monetary policy,affects the inputs to the long-run equilibrium,Monetary policy influences the factors determining the long-run equilibrium rate.,"However, to the extent that monetary policy affects the inputs to the long-run equilibrium, the terminal rate will to some degree be endogenous to the economys path to it.",NA,to some degree,NA,FUTURE,speech_16649_batch_0,16649,batch_6956d9714e688190be18ed9b79ec69e7,16649_13
expectations by workers and firms,generate a domestically-driven wage-price dynamic,Expectations can lead to a wage-price dynamic affecting inflation.,"Key for me was that both the DMP and the agents survey reported continued strengthening of expectations by workers and firms for wage increases and price increases, which could generate a domestically-driven wage-price dynamic with higher inflation embedded in forward-looking pricing decisions.",NA,could,NA,FUTURE,speech_16649_batch_0,16649,batch_6956d9714e688190be18ed9b79ec69e7,16649_14
2021 wage settlements and price hikes,inflation remain well above target,Repeating past wage and price increases could keep inflation above target.,"In my speech at the beginning of the year, I illustrated that if the 2021 wage settlements and price hikes were repeated in 2022, inflation would remain well above target for longer than initially predicted.",NA,if,for longer,FUTURE,speech_16649_batch_0,16649,batch_6956d9714e688190be18ed9b79ec69e7,16649_15
increase in inflation expectations,significant role in wage settlements,Higher inflation expectations influence wage settlements.,"Therefore, even given the February projections, which showed a negative output gap from year 2 onwards, inflation expectations today likely will continue to play a significant role in wage settlements - keeping them stronger than consistent with the inflation target for longer.",NA,likely,for longer,FUTURE,speech_16649_batch_0,16649,batch_6956d9714e688190be18ed9b79ec69e7,16649_16
firms pricing expectations,recover margins eroded from input price increases and higher energy prices,Firms adjust pricing to recover from cost increases.,The DMP survey and agents commentary reported that firms pricing expectations for 2022 - at that time running north of 4.5% - sought to recover margins eroded from input price increases and higher energy prices in 2021.,4.5%,NA,NA,FUTURE,speech_16649_batch_0,16649,batch_6956d9714e688190be18ed9b79ec69e7,16649_17
erosion of international competition,strengthen ability to pass-on import prices,Reduced competition allows firms to pass on costs to consumers.,"I thought that even when global goods-price inflation started to decelerate, the erosion of international competition facing UK domestic firms could strengthen their ability to pass-on, or even top-up import prices.",NA,could,NA,FUTURE,speech_16649_batch_0,16649,batch_6956d9714e688190be18ed9b79ec69e7,16649_18
successive shocks to the price level,transitory effect on inflation,"Shocks to the price level mechanically wash out after a period, affecting inflation temporarily.","In my previous speech, I illustrated how a single or even two successive shocks to the price level have a transitory effect on inflation, since these shocks mechanically wash out after either the one year or the two years have passed.",NA,NA,after either the one year or the two years have passed,PAST,speech_16649_batch_1,16649,batch_6956d9714e688190be18ed9b79ec69e7,16649_19
repeated shocks on the same side,increase in the prices of goods and services in the UK,"Repeated shocks such as Brexit, Covid, supply bottlenecks, and energy prices increase prices.","The economy - firms, workers, consumers - is confronted by repeated shocks on the same side - Brexit, Covid, supply bottlenecks, energy prices - that on balance increase the prices of goods and services in the UK.",NA,NA,NA,PRESENT,speech_16649_batch_1,16649,batch_6956d9714e688190be18ed9b79ec69e7,16649_20
shocks,price level ratchet up,Shocks cause the price level to increase.,"Over the past year, these shocks have caused the price level to ratchet up and rather than letting each shock die out with inflation returning to target, they have piled on top of each other increasing inflation to historic highs.",NA,NA,Over the past year,PAST,speech_16649_batch_1,16649,batch_6956d9714e688190be18ed9b79ec69e7,16649_21
shocks,increase in inflation to historic highs,"Shocks pile on top of each other, increasing inflation.","Over the past year, these shocks have caused the price level to ratchet up and rather than letting each shock die out with inflation returning to target, they have piled on top of each other increasing inflation to historic highs.",NA,NA,Over the past year,PAST,speech_16649_batch_1,16649,batch_6956d9714e688190be18ed9b79ec69e7,16649_22
household inflation expectations,goods inflation embedded into overall cost inflation,"Household inflation expectations, part of wage-setting, can embed goods inflation into overall cost inflation.","We know that consumer expectations for aggregate inflation are built from observed inflation of salient purchases, such as energy and food.[7] Since household inflation expectations are part of wage-setting, goods inflation can become embedded into overall cost inflation, albeit with a lag.",NA,can,albeit with a lag,PRESENT,speech_16649_batch_1,16649,batch_6956d9714e688190be18ed9b79ec69e7,16649_23
Monetary policy that looks through price changes,sustaining aggregate inflation,"Monetary policy may allow costs and prices to ratchet up, sustaining inflation.","Monetary policy that fully looks through these price changes may inadvertently allow for a ratchet-up in costs and prices, sustaining aggregate inflation even after those prices come down or their growth rates mean-revert.",NA,may,NA,PRESENT,speech_16649_batch_1,16649,batch_6956d9714e688190be18ed9b79ec69e7,16649_24
inflation ratchet,higher overall inflation that persists,"An inflation ratchet may spread inflation into more firms' pricing strategies, yielding persistent inflation.","Moreover, evidence continues to mount that an inflation ratchet may make it more likely that externally- driven inflation in just a few items may spread into more firms pricing strategies, yielding higher overall inflation that persists without monetary policy action.",NA,may,NA,PRESENT,speech_16649_batch_1,16649,batch_6956d9714e688190be18ed9b79ec69e7,16649_25
high inflation,seeped into stable components,High inflation is no longer limited to volatile components but has affected stable ones.,"The analysis of a volatility-based measure of underlying inflation that my colleague, Lennart Brandt, and I have conducted suggests that high inflation is no longer limited to components that are typically quite volatile, but now has seeped into those that typically are rather stable.[8]",NA,NA,NA,PRESENT,speech_16649_batch_1,16649,batch_6956d9714e688190be18ed9b79ec69e7,16649_26
Ofgem price cap,prolongs the effect of the current increase in wholesale energy prices,The Ofgem price cap prolongs the effect of energy price increases.,"Additionally, specific mechanisms of the UK energy market, namely the Ofgem price cap, are designed in a way that prolongs the effect of the current increase in wholesale energy prices.",NA,NA,NA,PRESENT,speech_16649_batch_1,16649,batch_6956d9714e688190be18ed9b79ec69e7,16649_27
appreciation of Sterling and higher yield curve,tightened financial conditions,The appreciation of Sterling and the higher yield curve tightened financial conditions.,We can see how the appreciation of Sterling and the higher yield curve had tightened financial conditions but were more than offset by looser spreads and to some extent by buoyant equity prices.,NA,NA,NA,PAST,speech_16649_batch_1,16649,batch_6956d9714e688190be18ed9b79ec69e7,16649_28
continued accommodative financial conditions,tempered effect of policy tightening on aggregate demand,Accommodative financial conditions could have reduced the impact of policy tightening on demand.,"Whether because of previous accommodation or a delay in incorporating the trajectory of tightening monetary policy, the resulting continued accommodative financial conditions could have tempered any effect of policy tightening on aggregate demand, which would therefore have required a more robust signal from policy - a 50 basis point hike.",NA,could have,NA,PAST,speech_16649_batch_1,16649,batch_6956d9714e688190be18ed9b79ec69e7,16649_29
