speech_id,batch_id,cause_entity,effect_entity,relationship,document_reference,quantifications,modulator_uncertainty,modulator_temporal,tense,claim_id,unique_identifier_speech_batch_claim
16652,1,Central banks increasing policy rates,Inflection in their respective policy paths,Central banks are responding to a turning point in data by adjusting their policy paths.,"Over the last week or so, many advanced economy central banks increased their policy rates. The Federal Reserve increased by 25 basis points, the European Central Bank and the Bank of England by 50, although the Bank of Canada signalled a pause and the Bank of Japan maintained its updated yield curve control target. It seems that at least some central bankers are seeing a turning point in data to which they are responding with an inflection in their respective policy paths.","Federal Reserve increased by 25 basis points, European Central Bank and Bank of England by 50 basis points.",It seems that at least some central bankers are seeing a turning point in data.,Over the last week or so,present,0,16652_1_0
16652,1,Turning points in data,Re-assessment of policy,Turning points in data lead to a re-assessment of policy related to the mandate of the central bank.,"Moreover, what represents a turning point in the data which would lead to a re-assessment of policy is related to the mandate of the central bank.",,,,present,1,16652_1_1
16652,1,Inflation dynamics not yet quelled,Vote for a more robust monetary policy path,The speaker's reading of granular data and inflation dynamics has led to a decision to support a more robust monetary policy path.,My reading of the more granular data and likely asymmetries in the inflation process has led me to vote for a more robust monetary policy path that stays the course because inflation dynamics have not yet been quelled.,,,,present,2,16652_1_2
16652,1,Policy spillovers from other central banks,Impact on the UK economic situation,"Decisions by other central banks, as reflected in their assessment of turning points, impact the UK economic situation.","Adding to these uncertainties are policy spillovers. For example, as a UK monetary policy maker, I am mindful of other central banks decisions, as reflected in their assessment of their turning points, and their impact on the UK economic situation.",,,,present,3,16652_1_3
16652,2,External drivers,Inflation components not moderating,Inflation components particularly exposed to external drivers are not all moderating.,A closer inspection of the chart shows that inflation components particularly exposed to external drivers are not all moderating.,,,,present,0,16652_2_0
16652,2,Energy prices being capped,Deceleration of goods prices,"Energy prices are capped for now, and goods prices are decelerating.","Energy prices are capped for now, and goods prices are decelerating, but food prices continue to surge.",,,for now,present,1,16652_2_1
16652,2,Too much demand relative to supply (output gap),Inflation,A simple view of the inflation process is that inflation comes from too much demand relative to supply (frequently termed as the output gap).,A simple view of the inflation process is that inflation comes from too much demand relative to supply (frequently termed as the output gap).,,A simple view,,present,2,16652_2_2
16652,2,UK's demand condition failing to return to pre-Covid GDP level,Stubbornly high inflation in the UK,"Now, the UK's demand condition is notable in failing to return to the pre-Covid level of GDP, much less approach its pre-Covid trend. Yet, inflation is stubbornly high in the UK.","Now, the UK's demand condition is notable in failing to return to the pre-Covid level of GDP, much less approach its pre-Covid trend. Yet, inflation is stubbornly high in the UK.",,,,present,3,16652_2_3
16652,3,Covid and lockdown-induced global demand rotation and subsequent supply bottlenecks,"High goods prices, chip shortages, and output problems around the world","The demand rotation and supply bottlenecks caused by Covid and lockdowns led to increased goods prices, chip shortages, and output issues globally.","first, the Covid and lockdown- induced global demand rotation and subsequent supply bottlenecks yielded high goods prices, chip shortages, and output problems around the world.",,,,past,0,16652_3_0
16652,3,Energy shock caused by Russia's invasion of Ukraine,Raised gas prices globally,The energy shock from Russia's invasion of Ukraine led to an increase in global gas prices.,the energy shock caused by Russias invasion of Ukraine raised gas prices globally,,,,past,1,16652_3_1
16652,3,Fragmented markets,Far more dire implications for the euro area and UK,Fragmented markets exacerbated the impact of the energy shock on the euro area and UK.,"but because of more fragmented markets, had implications far more dire for the euro area and UK.",,,,past,2,16652_3_2
16652,3,Increases in early retirement and long-term illness,Reduced labor supply,The increase in early retirement and long-term illness has led to a reduction in labor supply.,It appears that increases in early retirement and long-term illness have reduced labor supply,,It appears that,,past,3,16652_3_3
16652,3,Brexit,Reduced trade and investment efficiencies,Brexit has led to a reduction in trade and investment efficiencies.,Brexit has reduced trade and investment efficiencies.,,,,past,4,16652_3_4
