entity,topic,classification,document_reference,custom_id,speech_id,location,request_idx,speech_narrative_id,entity_type,entity_speech_narrative_id
recent economic shocks,geopolitical shocks,higher,,speech_16649_narr_16649_0_cause_0,16649,global,0,16649_0,cause,recent economic shocks|16649_0
uncertainties around them,geopolitical shocks,higher,,speech_16649_narr_16649_0_effect_0,16649,global,0,16649_0,effect,uncertainties around them|16649_0
near-term inflationary pressures,inflation,higher,,speech_16649_narr_16649_1_cause_1,16649,domestic,1,16649_1,cause,near-term inflationary pressures|16649_1
becoming embedded in domestic expectations and realisations,inflation,higher,,speech_16649_narr_16649_1_effect_1,16649,domestic,1,16649_1,effect,becoming embedded in domestic expectations and realisations|16649_1
projected dramatic deterioration in real purchasing power,output,lower,,speech_16649_narr_16649_2_cause_2,16649,domestic,2,16649_2,cause,projected dramatic deterioration in real purchasing power|16649_2
deterioration in real purchasing power of people's incomes,output,lower,,speech_16649_narr_16649_2_effect_2,16649,domestic,2,16649_2,effect,deterioration in real purchasing power of people's incomes|16649_2
monetary policy tools,interest rates,higher,,speech_16649_narr_16649_3_cause_3,16649,domestic,3,16649_3,cause,monetary policy tools|16649_3
short-circuit the inflationary expectations dynamic,inflation,higher,,speech_16649_narr_16649_3_effect_3,16649,domestic,3,16649_3,effect,short-circuit the inflationary expectations dynamic|16649_3
monetary policy tools,interest rates,higher,,speech_16649_narr_16649_4_cause_4,16649,domestic,4,16649_4,cause,monetary policy tools|16649_4
inflation,inflation,higher,,speech_16649_narr_16649_4_effect_4,16649,domestic,4,16649_4,effect,inflation|16649_4
monetary policy tools,interest rates,higher,,speech_16649_narr_16649_5_cause_5,16649,domestic,5,16649_5,cause,monetary policy tools|16649_5
moderate the hit to purchasing power,inflation,lower,,speech_16649_narr_16649_5_effect_5,16649,domestic,5,16649_5,effect,moderate the hit to purchasing power|16649_5
current inflation,inflation,normal,,speech_16649_narr_16649_6_cause_6,16649,domestic,6,16649_6,cause,current inflation|16649_6
future price inflation,inflation,higher,,speech_16649_narr_16649_6_effect_6,16649,domestic,6,16649_6,effect,future price inflation|16649_6
price realisations,inflation,normal,,speech_16649_narr_16649_7_cause_7,16649,domestic,7,16649_7,cause,price realisations|16649_7
evolution of real income and demand,output,normal,,speech_16649_narr_16649_7_effect_7,16649,domestic,7,16649_7,effect,evolution of real income and demand|16649_7
monetary policy,interest rates,normal,,speech_16649_narr_16649_8_cause_8,16649,domestic,8,16649_8,cause,monetary policy|16649_8
influence inflation,inflation,normal,,speech_16649_narr_16649_8_effect_8,16649,domestic,8,16649_8,effect,influence inflation|16649_8
influence output,output,normal,,speech_16649_narr_16649_8_effect_8,16649,domestic,8,16649_8,effect,influence output|16649_8
shocks,inflation,higher,,speech_16649_narr_16649_9_cause_9,16649,domestic,9,16649_9,cause,shocks|16649_9
inflation,inflation,higher,,speech_16649_narr_16649_9_effect_9,16649,domestic,9,16649_9,effect,inflation|16649_9
monetary policy path,interest rates,normal,,speech_16649_narr_16649_10_cause_10,16649,domestic,10,16649_10,cause,monetary policy path|16649_10
volatility in economic activity,output,higher,,speech_16649_narr_16649_10_effect_10,16649,domestic,10,16649_10,effect,volatility in economic activity|16649_10
monetary policy decisions,interest rates,normal,,speech_16649_narr_16649_11_cause_11,16649,domestic,11,16649_11,cause,monetary policy decisions|16649_11
expectations over future price-setting,inflation,normal,,speech_16649_narr_16649_11_effect_11,16649,domestic,11,16649_11,effect,expectations over future price-setting|16649_11
monetary policy decisions,interest rates,normal,,speech_16649_narr_16649_12_cause_12,16649,domestic,12,16649_12,cause,monetary policy decisions|16649_12
medium-term inflation,inflation,normal,,speech_16649_narr_16649_12_effect_12,16649,domestic,12,16649_12,effect,medium-term inflation|16649_12
monetary policy decisions,interest rates,normal,,speech_16649_narr_16649_13_cause_13,16649,domestic,13,16649_13,cause,monetary policy decisions|16649_13
purchasing power,inflation,normal,,speech_16649_narr_16649_13_effect_13,16649,domestic,13,16649_13,effect,purchasing power|16649_13
monetary policy,interest rates,normal,,speech_16649_narr_16649_14_cause_14,16649,global,14,16649_14,cause,monetary policy|16649_14
change financial conditions,financial markets,normal,,speech_16649_narr_16649_14_effect_14,16649,global,14,16649_14,effect,change financial conditions|16649_14
financial conditions,financial markets,normal,,speech_16649_narr_16649_15_cause_15,16649,domestic,15,16649_15,cause,financial conditions|16649_15
aggregate demand,output,normal,,speech_16649_narr_16649_15_effect_15,16649,domestic,15,16649_15,effect,aggregate demand|16649_15
liquidity from past monetary accommodation,financial markets,higher,,speech_16649_narr_16649_16_cause_16,16649,domestic,16,16649_16,cause,liquidity from past monetary accommodation|16649_16
affecting transmission of monetary policy,financial markets,normal,,speech_16649_narr_16649_16_effect_16,16649,domestic,16,16649_16,effect,affecting transmission of monetary policy|16649_16
previous accommodation,interest rates,normal,,speech_16649_narr_16649_17_cause_17,16649,domestic,17,16649_17,cause,previous accommodation|16649_17
absorption of the transmission of monetary policy,financial markets,normal,,speech_16649_narr_16649_17_effect_17,16649,domestic,17,16649_17,effect,absorption of the transmission of monetary policy|16649_17
bolder monetary policy action,interest rates,higher,,speech_16649_narr_16649_18_cause_18,16649,domestic,18,16649_18,cause,bolder monetary policy action|16649_18
financial conditions,financial markets,higher,,speech_16649_narr_16649_18_effect_18,16649,domestic,18,16649_18,effect,financial conditions|16649_18
bolder monetary policy action,interest rates,higher,,speech_16649_narr_16649_19_cause_19,16649,domestic,19,16649_19,cause,bolder monetary policy action|16649_19
cascade to affect real decisions,financial markets,higher,,speech_16649_narr_16649_19_effect_19,16649,domestic,19,16649_19,effect,cascade to affect real decisions|16649_19
tightness in labour and product markets,labour market,higher,,speech_16649_narr_16649_20_cause_20,16649,domestic,20,16649_20,cause,tightness in labour and product markets|16649_20
